Country,Code,Year,GDP per capita,Suicide_Rate
Albania,ALB,2019,12531.788,4.3
Algeria,DZA,2019,11787.492,2.5
Angola,AGO,2019,7159.579,6.1
Anguilla,AIA,2019,15177.923,#N/A
Antigua and Barbuda,ATG,2019,16514.492,0.4
Argentina,ARG,2019,21826.838,8.4
Armenia,ARM,2019,14735.138,3.3
Aruba,ABW,2019,32613.762,#N/A
Australia,AUS,2019,54147.008,12.5
Austria,AUT,2019,53344.508,14.6
Azerbaijan,AZE,2019,15858.924,4.1
Bahamas,BHS,2019,33088.543,3.5
Bahrain,BHR,2019,46964.977,8.9
Bangladesh,BGD,2019,4658.01,3.7
Barbados,BRB,2019,12217.291,0.6
Belarus,BLR,2019,21665.938,21.2
Belgium,BEL,2019,44839.68,18.3
Belize,BLZ,2019,5602.4204,7.1
Benin,BEN,2019,3245.0645,7.8
Bermuda,BMU,2019,50273.473,#N/A
Bhutan,BTN,2019,11778.3955,4.6
Bolivia,BOL,2019,8584.631,6.2
Bosnia and Herzegovina,BIH,2019,13795.342,10.9
Botswana,BWA,2019,16484.375,16.1
Brazil,BRA,2019,14593.961,6.9
British Virgin Islands,VGB,2019,37368.71,#N/A
Brunei,BRN,2019,73249.19,2.7
Bulgaria,BGR,2019,21347.125,9.7
Burkina Faso,BFA,2019,2120.1392,7.5
Burundi,BDI,2019,790.046,6.2
Cambodia,KHM,2019,4500.0527,4.9
Cameroon,CMR,2019,3651.4968,9
Canada,CAN,2019,49884.055,11.8
Cape Verde,CPV,2019,7271.0767,#N/A
Cayman Islands,CYM,2019,61651.09,#N/A
Central African Republic,CAF,2019,978.34937,12.3
Chad,TCD,2019,1615.0825,6.4
Chile,CHL,2019,23252.557,9
China,CHN,2019,14128.812,8.1
Colombia,COL,2019,14057.756,3.9
Comoros,COM,2019,3208.8936,5.4
Congo,COG,2019,4657.116,6.5
Costa Rica,CRI,2019,18522.178,8.1
Cote d'Ivoire,CIV,2019,5035.349,8.9
Croatia,HRV,2019,26001.002,16.4
Curacao,CUW,2019,21161.58,#N/A
Cyprus,CYP,2019,32301.82,3.6
Czechia,CZE,2019,37521.227,12.2
Democratic Republic of Congo,COD,2019,1021.6937,#N/A
Denmark,DNK,2019,54027.15,10.7
Djibouti,DJI,2019,6132.4233,9.6
Dominica,DMA,2019,10327.737,#N/A
Dominican Republic,DOM,2019,17926.738,4.9
Ecuador,ECU,2019,11235.628,7.6
Egypt,EGY,2019,12059.8955,3
El Salvador,SLV,2019,8116.269,6.1
Equatorial Guinea,GNQ,2019,24712.76,7.9
Estonia,EST,2019,33852.387,14.9
Eswatini,SWZ,2019,7827.8228,29.4
Ethiopia,ETH,2019,2720.7412,5.4
Fiji,FJI,2019,13753.734,9
Finland,FIN,2019,44928.516,15.3
France,FRA,2019,43755.062,13.8
Gabon,GAB,2019,15492.227,8.4
Gambia,GMB,2019,2408.8591,4.8
Georgia,GEO,2019,17055.666,9.2
Germany,DEU,2019,51190.89,12.3
Ghana,GHA,2019,5363.2695,6.6
Greece,GRC,2019,27201.492,5.1
Grenada,GRD,2019,15374.282,0.7
Guatemala,GTM,2019,7769.828,5.9
Guinea,GIN,2019,2286.8052,7
Guinea-Bissau,GNB,2019,1850.2985,7
Guyana,GUY,2019,13010.421,40.3
Haiti,HTI,2019,1554.0212,9.6
Honduras,HND,2019,5428.0635,2.1
Hong Kong,HKG,2019,54810.02,#N/A
Hungary,HUN,2019,29236.4,16.6
Iceland,ISL,2019,53011.742,11.9
India,IND,2019,6711.385,12.7
Indonesia,IDN,2019,11595.102,2.4
Iran,IRN,2019,13240.924,5.2
Iraq,IRQ,2019,11920.252,3.6
Ireland,IRL,2019,102622.45,9.6
Israel,ISR,2019,38562.625,5.3
Italy,ITA,2019,40732.03,6.7
Jamaica,JAM,2019,8434.522,2.4
Japan,JPN,2019,39704.234,15.3
Jordan,JOR,2019,10789.006,1.6
Kazakhstan,KAZ,2019,28306.396,17.6
Kenya,KEN,2019,4236.668,6.1
Kuwait,KWT,2019,62054.52,2.9
Kyrgyzstan,KGZ,2019,6135.855,7.4
Laos,LAO,2019,7585.5537,5.4
Latvia,LVA,2019,29411.12,20.1
Lebanon,LBN,2019,14749.867,2.8
Lesotho,LSO,2019,2694.87,72.4
Liberia,LBR,2019,1258.1931,4.5
Lithuania,LTU,2019,32483.44,26.1
Luxembourg,LUX,2019,90479.41,11.3
Macao,MAC,2019,93488.375,#N/A
Madagascar,MDG,2019,1539.063,5.5
Malawi,MWI,2019,1161.3806,5.4
Malaysia,MYS,2019,25735.309,5.7
Maldives,MDV,2019,19411.275,2.7
Mali,MLI,2019,2446.2075,4.1
Malta,MLT,2019,38910.08,6.1
Mauritania,MRT,2019,4676.1816,3.1
Mauritius,MUS,2019,23437.75,9.5
Mexico,MEX,2019,18736.527,5.3
Moldova,MDA,2019,9438.566,14.7
Mongolia,MNG,2019,11900.283,17.9
Montenegro,MNE,2019,21849.92,21
Montserrat,MSR,2019,15573.098,#N/A
Morocco,MAR,2019,7923.9307,7.2
Mozambique,MOZ,2019,1228.8705,13.6
Myanmar,MMR,2019,5153.375,2.9
Namibia,NAM,2019,9353.127,9.7
Nepal,NPL,2019,3631.0178,9
Netherlands,NLD,2019,55569.44,11.8
New Zealand,NZL,2019,41522.477,11
Nicaragua,NIC,2019,5024.2754,4.4
Niger,NER,2019,1210.8782,5.3
Nigeria,NGA,2019,4983.6753,3.5
North Macedonia,MKD,2019,15779.604,9.4
Norway,NOR,2019,73668.79,11.8
Oman,OMN,2019,30723.287,4.9
Pakistan,PAK,2019,5026.2085,8.9
Palestine,PSE,2019,7386.203,#N/A
